id,longitude,latitude,train_id,stationA,stationB
,,,D27,天津西,哈尔滨西
,,,D28,哈尔滨西,天津西
,,,D29,天津西,齐齐哈尔南
,,,D30,齐齐哈尔南,天津西
,,,D55,兰州西,乌鲁木齐
,,,D56,乌鲁木齐,兰州西
,,,D083,海口,三亚
,,,D111,珲春,齐齐哈尔南
,,,D112,齐齐哈尔南,珲春
,,,D113,齐齐哈尔南,珲春
,,,D114,珲春,齐齐哈尔南
,,,D115,延吉西,哈尔滨西
,,,D116,哈尔滨西,延吉西
,,,D117,哈尔滨西,延吉西
,,,D118,延吉西,哈尔滨西
,,,D119,长春,牡丹江
,,,D120,牡丹江,长春
,,,D121,长春,佳木斯
,,,D122,佳木斯,长春
,,,D123,吉林,哈尔滨西
,,,D124,哈尔滨西,吉林
,,,D125,哈尔滨西,吉林
,,,D126,吉林,哈尔滨西
,,,D127,吉林,齐齐哈尔南
,,,D128,齐齐哈尔南,吉林
,,,D129,齐齐哈尔南,吉林
,,,D130,吉林,齐齐哈尔南
,,,D131,吉林,佳木斯
,,,D132,哈尔滨西,吉林
,,,D133,哈尔滨西,吉林
,,,D134,吉林,佳木斯
,,,D135,吉林,牡丹江
,,,D136,牡丹江,吉林
,,,D137,牡丹江,吉林
,,,D138,吉林,牡丹江
,,,D201,南宁东,广州南
,,,D202,广州南,南宁东
,,,D203,南宁东,广州南
,,,D204,广州南,南宁东
,,,D205,南宁东,广�
,,,D206,广州南,南宁东
,,,D207,南宁东,广州南
,,,D208,广州南,南宁东
,,,D211,贵阳北,广州南
,,,D212,广州南,贵阳北
,,,D213,贵阳北,广州南
,,,D214,广州南,贵阳北
,,,D222,广州南,南宁东
,,,D223,南宁东,广州南
,,,D226,广州南,南宁东
,,,D227,南宁东,广州南
,,,D351,成都东,上海虹桥
,,,D352,上海虹桥,成都东
,,,D353,上海虹桥,成都东
,,,D354,成都东,上海虹桥
,,,D361,汉口,成都东
,,,D362,成都东,汉口
,,,D365,成都东,武汉
,,,D366,武汉,成都东
,,,D377,上海虹桥,深圳北
,,,D378,深圳北,上海虹桥
,,,D615,汉口,成都东
,,,D616,成都东,汉口
,,,D617,成都东,武汉
,,,D618,武汉,成都东
,,,D624,重庆北,宜昌东
,,,D626,重庆北,汉口
,,,D629,汉口,重庆北
,,,D630,重庆北,汉口
,,,D633,汉口,成都东
,,,D634,成都东,汉口
,,,D635,成都东,上海虹桥
,,,D636,上海虹桥,成都东
,,,D637,上海虹桥,成都东
,,,D638,成都东,上海虹桥
,,,D655,重庆北,宁波
,,,D656,宁波,重庆北
,,,D662,深圳北,厦门
,,,D663,厦门北,深圳北
,,,D664,深圳北,厦门北
,,,D666,深圳北,厦门北
,,,D667,厦门,深圳北
,,,D668,深圳北,厦门
,,,D672,深圳北,福州南
,,,D674,深圳北,厦门
,,,D675,厦门,深圳北
,,,D676,深圳北,厦门
,,,D687,厦门,深圳北
,,,D688,深圳北,厦门
,,,D690,深圳北,厦门北
,,,D692,深圳北,厦门
,,,D694,深圳北,厦门北
,,,D696,深圳北,厦门
,,,D701,北京,上海
,,,D703,北京南,上海南
,,,D704,上海南,北京南
,,,D705,北京,上海
,,,D706,上海,北京
,,,D709,北京南,上海
,,,D710,上海,北京南
,,,D711,北京,杭州
,,,D712,杭州,北京
,,,D717,北京,杭州
,,,D718,杭州,北京
,,,D727,北京西,深圳
,,,D728,深圳,北京西
,,,D733,北京西,井冈山
,,,D734,井冈山,北京西
,,,D735,北京西,南昌
,,,D736,南昌,北京西
,,,D737,北京西,南昌
,,,D738,南昌,北京西
,,,D739,北京西,三明北
,,,D740,三明北,北京西
,,,D745,北京西,厦门北
,,,D746,厦门北,北京西
,,,D751,重庆北,兰州
,,,D752,兰州西,重庆北
,,,D753,重庆北,兰州
