ID,城市,经度,纬度
11,北京市,116.40717,39.90469
12,天津市,117.19937,39.0851
31,上海市,121.4737,31.23037
50,重庆市,106.55073,29.56471
-1,香港,114.16546,22.27534
-1,澳门,113.54913,22.19875
1301,石家庄市,114.5143,38.04276
1302,唐山市,118.18058,39.63048
1303,秦皇岛市,119.59964,39.93545
1304,邯郸市,114.53918,36.62556
1305,邢台市,114.50443,37.07055
1306,保定市,115.46459,38.87396
1307,张家口市,114.88755,40.82444
1308,承德市,117.9634,40.9515
1309,沧州市,116.83869,38.30441
1310,廊坊市,116.68376,39.53775
1311,衡水市,115.67054,37.73886
4101,郑州市,113.62493,34.74725
4102,开封市,114.30731,34.79726
4103,洛阳市,112.45361,34.61812
4104,平顶山市,113.19241,33.76609
4105,安阳市,114.3931,36.09771
4106,鹤壁市,114.29745,35.747
4107,新乡市,113.92675,35.30323
4108,焦作市,113.24201,35.21563
4109,濮阳市,115.02932,35.76189
4110,许昌市,113.85233,34.0357
4111,漯河市,114.01681,33.58149
4112,三门峡市,111.2003,34.77261
4113,南阳市,112.52851,32.99073
4114,商丘市,115.65635,34.41427
4115,信阳市,114.09279,32.14714
4116,周口市,114.69695,33.62583
4117,驻马店市,114.02299,33.01142
3701,济南市,117.12009,36.65184
3702,青岛市,120.38299,36.06623
3703,淄博市,118.0548,36.8131
3704,枣庄市,117.32196,34.81071
3705,东营市,118.67466,37.43365
3706,烟台市,121.44801,37.46353
3707,潍坊市,119.16176,36.70686
3708,济宁市,116.58724,35.41459
3709,泰安市,117.0884,36.19994
3710,威海市,122.12171,37.51348
3711,日照市,119.52719,35.41646
1,莱芜市,117.67667,36.21359
3713,临沂市,118.35646,35.10465
3714,德州市,116.35927,37.4355
3715,聊城市,115.98549,36.45702
3716,滨州市,117.97279,37.38211
3717,菏泽市,115.48115,35.23363
1401,太原市,112.556252,37.876876
1402,大同市,113.304424,40.081863
1403,阳泉市,113.58047,37.85668
1404,长治市,113.11649,36.19581
1405,晋城市,112.85113,35.49039
1406,朔州市,112.439374,39.357422
1407,晋中市,112.75278,37.68702
1408,运城市,111.00699,35.02628
1409,忻州市,112.73418,38.4167
1410,临汾市,111.51962,36.08822
1411,吕梁市,111.14165,37.51934
2101,沈阳市,123.4631,41.67718
2102,大连市,121.61476,38.91369
2103,鞍山市,122.9946,41.10777
2104,抚顺市,123.95722,41.87971
2105,本溪市,123.76686,41.29413
2106,丹东市,124.35601,39.9998
2107,锦州市,121.12703,41.09515
2108,营口市,122.2349,40.66683
2109,阜新市,121.67011,42.02166
2110,辽阳市,123.23736,41.26809
2111,盘锦市,122.07078,41.11996
2112,铁岭市,123.84241,42.2862
2113,朝阳市,120.4508,41.57347
2114,葫芦岛市,120.83699,40.711
2201,长春市,125.32357,43.81602
2202,吉林市,126.54944,43.83784
2203,四平市,124.35036,43.16646
2204,辽源市,125.14368,42.88805
2205,通化市,125.9399,41.72829
2206,白山市,126.42443,41.9408
2207,松原市,124.82515,45.1411
2208,白城市,122.83871,45.6196
2224,延边朝鲜族自治州,129.5091,42.89119
2301,哈尔滨市,126.5358,45.80216
2302,齐齐哈尔市,123.91796,47.35431
2303,鸡西市,130.96954,45.29524
2304,鹤岗市,130.29785,47.34989
2305,双鸭山市,131.1591,46.64658
2306,大庆市,125.110961,46.595319
2307,伊春市,128.84049,47.72752
2308,佳木斯市,130.31882,46.79977
2309,七台河市,131.00306,45.77065
2310,牡丹江市,129.63244,44.55269
2311,黑河市,127.52852,50.24523
2312,绥化市,126.96932,46.65246
2327,大兴安岭地区,124.59216,51.92398
3201,南京市,118.79647,32.05838
3202,无锡市,120.31237,31.49099
3203,徐州市,117.28577,34.2044
3204,常州市,119.97365,31.81072
3205,苏州市,120.58319,31.29834
3206,南通市,120.89371,31.97958
3207,连云港市,119.22295,34.59669
3208,淮安市,119.01595,33.61016
3209,盐城市,120.16164,33.34951
3210,扬州市,119.41269,32.39358
3211,镇江市,119.425,32.18959
3212,泰州市,119.92554,32.45546
3213,宿迁市,118.27549,33.96193
3301,杭州市,120.15515,30.27415
3302,宁波市,121.55027,29.87386
3303,温州市,120.69939,27.99492
3304,嘉兴市,120.7555,30.74501
3305,湖州市,120.08805,30.89305
3306,绍兴市,120.5802,30.03033
3307,金华市,119.64759,29.07812
3308,衢州市,118.87419,28.93592
3309,舟山市,122.20778,29.98539
3310,台州市,121.42056,28.65611
3311,丽水市,119.92293,28.4672
3401,合肥市,117.22901,31.82057
3402,芜湖市,118.43313,31.35246
3403,蚌埠市,117.38932,32.91548
3404,淮南市,116.9998,32.62549
3405,马鞍山市,118.50611,31.67067
3406,淮北市,116.79834,33.95479
3407,铜陵市,117.81232,30.94486
3408,安庆市,117.06354,30.54294
3410,黄山市,118.33866,29.71517
3411,滁州市,118.31683,32.30181
3412,阜阳市,115.81495,32.88963
3413,宿州市,116.96391,33.64614
3415,六安市,116.52324,31.73488
3416,亳州市,115.77931,33.84461
3417,池州市,117.49142,30.66469
3418,宣城市,118.75866,30.94078
3501,福州市,119.29647,26.07421
3502,厦门市,118.08948,24.47951
3503,莆田市,119.00771,25.454
3504,三明市,117.63922,26.26385
3505,泉州市,118.67587,24.87389
3506,漳州市,117.64725,24.51347
3507,南平市,118.12043,27.33175
3508,龙岩市,117.01722,25.07504
3509,宁德市,119.54819,26.66571
3601,南昌市,115.85794,28.68202
3602,景德镇市,117.17839,29.26869
3603,萍乡市,113.85427,27.62289
3604,九江市,116.00146,29.70548
3605,新余市,114.91713,27.81776
3606,鹰潭市,117.06919,28.26019
3607,赣州市,114.93476,25.83109
3608,吉安市,114.99376,27.11382
3609,宜春市,114.41612,27.81443
3610,抚州市,116.35809,27.94781
3611,上饶市,117.94357,28.45463
4201,武汉市,114.30525,30.59276
4202,黄石市,115.0389,30.19953
4203,十堰市,110.79801,32.62918
4205,宜昌市,111.28642,30.69186
4206,襄阳市,112.12255,32.009
4207,鄂州市,114.89495,30.39085
4208,荆门市,112.19945,31.03546
4209,孝感市,113.91645,30.92483
4210,荆州市,112.24069,30.33479
4211,黄冈市,114.87238,30.45347
4212,咸宁市,114.32245,29.84126
4213,随州市,113.38262,31.69013
4228,恩施土家族苗族自治州,109.48817,30.27217
4301,长沙市,112.93886,28.22778
4302,株洲市,113.13396,27.82767
4303,湘潭市,112.94411,27.82975
4304,衡阳市,112.57195,26.89324
4305,邵阳市,111.4677,27.2389
4306,岳阳市,113.12919,29.35728
4307,常德市,111.69854,29.03158
4308,张家界市,110.47839,29.11667
4309,益阳市,112.35516,28.55391
4310,郴州市,113.01485,25.77063
4311,永州市,111.61225,26.42034
4312,怀化市,110.0016,27.56974
4313,娄底市,111.99458,27.69728
4331,湘西土家族苗族自治州,109.73893,28.31173
4401,广州市,113.26436,23.12908
4402,韶关市,113.59723,24.81039
4403,深圳市,114.05956,22.54286
4404,珠海市,113.57668,22.27073
4405,汕头市,116.68221,23.3535
4406,佛山市,113.12192,23.02185
4407,江门市,113.08161,22.57865
4408,湛江市,110.35894,21.27134
4409,茂名市,110.92523,21.66329
4412,肇庆市,112.46528,23.0469
4413,惠州市,114.41679,23.11075
4414,梅州市,116.12264,24.28844
4415,汕尾市,115.37514,22.78566
4416,河源市,114.70065,23.74365
4417,阳江市,111.98256,21.85829
4418,清远市,113.05615,23.68201
4419,东莞市,113.75179,23.02067
4420,中山市,113.3926,22.51595
4451,潮州市,116.62296,23.6567
4452,揭阳市,116.37271,23.54972
4453,云浮市,112.04453,22.91525
4601,海口市,110.19989,20.04422
4602,三亚市,109.51209,18.25248
4603,三沙市,112.33356,16.83272
4604,儋州市,109.58069,19.52093
5101,成都市,104.06476,30.5702
5103,自贡市,104.77844,29.3392
5104,攀枝花市,101.71872,26.58228
5105,泸州市,105.44257,28.8717
5106,德阳市,104.3979,31.12679
5107,绵阳市,104.6796,31.46751
5108,广元市,105.84357,32.43549
5109,遂宁市,105.59273,30.53286
5110,内江市,105.05844,29.58015
5111,乐山市,103.76539,29.55221
5113,南充市,106.11073,30.83731
5114,眉山市,103.84851,30.07563
5115,宜宾市,104.6417,28.7513
5116,广安市,106.63322,30.45596
5117,达州市,107.46791,31.20864
5118,雅安市,103.0424,30.01053
5119,巴中市,106.74733,31.86715
5120,资阳市,104.62798,30.12859
5132,阿坝藏族羌族自治州,102.22477,31.8994
5133,甘孜藏族自治州,101.96254,30.04932
5134,凉山彝族自治州,102.26746,27.88164
5201,贵阳市,106.63024,26.64702
5202,六盘水市,104.83023,26.59336
5203,遵义市,106.92723,27.72545
5204,安顺市,105.9462,26.25367
5205,毕节市,105.30504,27.29847
5206,铜仁市,109.18099,27.69066
5223,黔西南布依族苗族自治州,104.90437,25.08988
5226,黔东南苗族侗族自治州,107.98416,26.58364
5227,黔南布依族苗族自治州,107.52226,26.25427
5301,昆明市,102.83322,24.87966
5303,曲靖市,103.79625,25.49002
5304,玉溪市,102.54714,24.3518
5305,保山市,99.16181,25.11205
5306,昭通市,103.7168,27.33817
5307,丽江市,100.2271,26.85648
5308,普洱市,100.96624,22.82521
5309,临沧市,100.08884,23.88426
5323,楚雄彝族自治州,101.52767,25.04495
5325,红河哈尼族彝族自治州,103.3756,23.36422
5326,文山壮族苗族自治州,104.21504,23.39849
5328,西双版纳傣族自治州,100.79739,22.00749
5329,大理白族自治州,100.26764,25.60648
5331,德宏傣族景颇族自治州,98.58486,24.43232
5333,怒江傈僳族自治州,98.8567,25.81763
5334,迪庆藏族自治州,99.70305,27.81908
6101,西安市,108.93984,34.34127
6102,铜川市,108.94515,34.89673
6103,宝鸡市,107.23732,34.36194
6104,咸阳市,108.70929,34.32932
6105,渭南市,109.51015,34.49997
6106,延安市,109.48978,36.58529
6107,汉中市,107.02377,33.06761
6108,榆林市,109.73458,38.2852
6109,安康市,109.02932,32.68486
6110,商洛市,109.94041,33.87036
6201,兰州市,103.83417,36.06138
6202,嘉峪关市,98.29011,39.77201
6203,金昌市,102.18759,38.52006
6204,白银市,104.13773,36.5447
6205,天水市,105.72486,34.58085
6206,武威市,102.63797,37.9282
6207,张掖市,100.44981,38.92592
6208,平凉市,106.6653,35.54303
6209,酒泉市,98.49394,39.73255
6210,庆阳市,107.64292,35.70978
6211,定西市,104.62524,35.58113
6212,陇南市,104.92166,33.401
6229,临夏回族自治州,103.21091,35.60122
6230,甘南藏族自治州,102.91102,34.98327
6301,西宁市,101.77782,36.61729
6302,海东市,102.40173,36.48209
6322,海北藏族自治州,100.90096,36.95454
6323,黄南藏族自治州,102.01507,35.51991
6325,海南藏族自治州,100.62037,36.28663
6326,果洛藏族自治州,100.24475,34.47141
6327,玉树藏族自治州,97.0065,33.00528
6328,海西蒙古族藏族自治州,97.37122,37.3771
4501,南宁市,108.3669,22.81673
4502,柳州市,109.41552,24.32543
4503,桂林市,110.29002,25.27361
4504,梧州市,111.27917,23.47691
4505,北海市,109.12008,21.48112
4506,防城港市,108.35472,21.68713
4507,钦州市,108.65431,21.9797
4508,贵港市,109.59764,23.11306
4509,玉林市,110.18098,22.65451
4510,百色市,106.61838,23.90216
4511,贺州市,111.56655,24.40346
4512,河池市,108.0854,24.69291
4513,来宾市,109.22238,23.7521
4514,崇左市,107.36485,22.37895
1501,呼和浩特市,111.75199,40.84149
1502,包头市,109.84021,40.65781
1503,乌海市,106.79546,39.65384
1504,赤峰市,118.88894,42.2586
1505,通辽市,122.24469,43.65247
1506,鄂尔多斯市,109.78087,39.60845
1507,呼伦贝尔市,119.76584,49.21163
1508,巴彦淖尔市,107.38773,40.74317
1509,乌兰察布市,113.13376,40.99391
1522,兴安盟,122.03818,46.08208
1525,锡林郭勒盟,116.04775,43.9332
1529,阿拉善盟,105.72898,38.85153
6401,银川市,106.23248,38.48644
6402,石嘴山市,106.38418,38.9841
6403,吴忠市,106.19879,37.99755
6404,固原市,106.24259,36.0158
6405,中卫市,105.19676,37.50026
5401,拉萨市,91.1145,29.64415
5402,日喀则市,88.88116,29.26705
5403,昌都市,97.17225,31.14073
5404,林芝市,94.36155,29.64895
5405,山南市,91.77313,29.23705
5406,那曲市,92.05136,31.47614
5425,阿里地区,81.1454,30.40051
6501,乌鲁木齐市,87.61688,43.82663
6502,克拉玛依市,84.88927,45.57999
6504,吐鲁番市,89.18954,42.9513
6505,哈密市,93.51538,42.81855
6523,昌吉回族自治州,87.30822,44.01117
6527,博尔塔拉蒙古自治州,82.06665,44.90597
6528,巴音郭楞蒙古自治州,86.14517,41.76404
6529,阿克苏地区,80.26008,41.16842
6530,克孜勒苏柯尔克孜自治州,76.16661,39.7153
6531,喀什地区,75.98976,39.47042
6532,和田地区,79.92247,37.11431
6540,伊犁哈萨克自治州,81.32416,43.91689
6542,塔城地区,82.98046,46.74532
6543,阿勒泰地区,88.14023,47.84564
